game,developer
Counter-Strike,Valve
Team Fortress Classic,Valve
Ricochet,Valve
Half-Life,Valve
Half-Life 2,Valve
Counter-Strike: Source,Valve
Half-Life 2: Lost Coast,Valve
Half-Life Deathmatch: Source,Valve
Half-Life 2: Episode One,Valve
Portal,Valve
Half-Life 2: Episode Two,Valve
Team Fortress 2,Valve
Left 4 Dead,Valve
Left 4 Dead 2,Valve
Dota 2,Valve
Portal 2,Valve
Counter-Strike: Global Offensive,Valve
Counter-Strike: Global Offensive,Hidden Path Entertainment
Call of Duty® 2,Infinity Ward
Plants vs. Zombies GOTY Edition,PopCap Games
Plants vs. Zombies GOTY Edition,Inc.
Sid Meier's Civilization® IV,Firaxis Games
Garry's Mod,Facepunch Studios
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Relic Entertainment
STAR WARS™ Republic Commando™,LucasArts
"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios
Hitman 2: Silent Assassin,Io-Interactive A/S
Hitman: Blood Money,Io-Interactive A/S
Just Cause,Avalanche Studios
Deus Ex: Game of the Year Edition,Ion Storm
BioShock™,2K Boston
BioShock™,2K Australia
Call of Duty® 4: Modern Warfare® (2007),Infinity Ward
EVE Online,CCP
BioShock® 2,2K Marin
BioShock® 2,2K China
BioShock® 2,Digital Extremes
BioShock® 2,2K Australia
BioShock Infinite,Irrational Games
BioShock Infinite,Virtual Programming (Linux)
Sid Meier's Civilization® V,Firaxis Games
Sid Meier's Civilization® V,Aspyr (Mac)
Sid Meier's Civilization® V,Aspyr (Linux)
Borderlands Game of the Year,Gearbox Software
Call of Duty: World at War,Treyarch
Call of Duty®: Modern Warfare® 2 (2009),Infinity Ward
Grand Theft Auto III,Rockstar Games
Grand Theft Auto: Vice City,Rockstar Games
Grand Theft Auto: San Andreas,Rockstar Games
Grand Theft Auto IV: The Complete Edition,Rockstar North
Grand Theft Auto IV: The Complete Edition,Rockstar Toronto
Grand Theft Auto: Episodes from Liberty City,Rockstar North / Toronto
Mirror's Edge™,DICE
Need for Speed Undercover,EA Black Box
Mass Effect (2007),BioWare
Dead Space (2008),EA Redwood Shores
The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED
The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED
Resident Evil 5,Capcom
The Elder Scrolls III: Morrowind® Game of the Year Edition,Bethesda Game Studios
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Bethesda Game Studios
Fallout: New Vegas,Obsidian Entertainment
Poker Night at the Inventory,Telltale Games
STAR WARS™ Knights of the Old Republic™,BioWare
STAR WARS™ Knights of the Old Republic™,Aspyr (Mac)
Assassin's Creed 2,Ubisoft Montreal
FINAL FANTASY VII,Square Enix
FINAL FANTASY XIV Online,Square Enix
Need For Speed: Hot Pursuit,Criterion Games
The Sims™ 3,The Sims Studio
LIMBO,Playdead
Borderlands 2,Gearbox Software
Borderlands 2,Aspyr (Mac)
Borderlands 2,Aspyr (Linux)
Amnesia: The Dark Descent,Frictional Games
The Bureau: XCOM Declassified,2K Marin
Sid Meier's Civilization®: Beyond Earth™,Firaxis Games
Sid Meier's Civilization®: Beyond Earth™,Aspyr (Mac)
Sid Meier's Civilization®: Beyond Earth™,Aspyr (Linux)
The Elder Scrolls V: Skyrim,Bethesda Game Studios
The Tiny Bang Story,Colibri Games
Age of Empires® III (2007),Ensemble Studios
Terraria,Re-Logic
Bastion,Supergiant Games
L.A. Noire,Team Bondi
L.A. Noire,Rockstar Leeds
The Binding of Isaac,Edmund McMillen
The Binding of Isaac,Florian Himsl
Call of Duty®: Black Ops II,Treyarch
Serious Sam 2,Croteam
Castle Crashers®,The Behemoth
Dishonored,Arkane Studios
SpeedRunners,DoubleDutch Games
Batman™: Arkham Knight,Rocksteady Studios
FTL: Faster Than Light,Subset Games
Alien: Isolation,Creative Assembly
Alien: Isolation,Feral Interactive (Mac)
Alien: Isolation,Feral Interactive (Linux)
Hotline Miami,Dennaton Games
Kerbal Space Program,Squad
Far Cry 3,Ubisoft Montreal
Far Cry 3,Massive Entertainment
Far Cry 3,and Ubisoft Shanghai
DmC: Devil May Cry,Ninja Theory
Resident Evil 6,Capcom
Don't Starve,Klei Entertainment
The Stanley Parable,Galactic Cafe
Divinity: Original Sin (Classic),Larian Studios
Universe Sandbox,Giant Army
Warframe,Digital Extremes
Surgeon Simulator,Bossa Studios
Kenshi,Lo-Fi Games
Transistor,Supergiant Games
The Wolf Among Us,Telltale
How to Survive,Eko Software
The Binding of Isaac: Rebirth,Nicalis
The Binding of Isaac: Rebirth,Inc.
The Binding of Isaac: Rebirth,Edmund McMillen
Rust,Facepunch Studios
Rocket League®,Psyonix LLC
Resident Evil 4 (2005),Capcom
Cities: Skylines,Colossal Order Ltd.
American Truck Simulator,SCS Software
Grand Theft Auto V,Rockstar North
Resident Evil,CAPCOM Co.
Resident Evil,Ltd.
FOR HONOR™,Ubisoft Montreal
FOR HONOR™,Ubisoft Quebec
FOR HONOR™,Ubisoft Toronto
FOR HONOR™,Blue Byte
Mortal Kombat X,NetherRealm Studios
Mortal Kombat X,QLOC
Street Fighter V,Capcom
Five Nights at Freddy's,Scott Cawthon
DOOM,id Software
VRChat,VRChat Inc.
NieR:Automata™,Square Enix
NieR:Automata™,PlatinumGames Inc.
Satisfactory,Coffee Stain Studios
Half-Life: Alyx,Valve
Life is Strange: Before the Storm,Deck Nine
Life is Strange: Before the Storm,Feral Interactive (Mac)
Life is Strange: Before the Storm,Feral Interactive (Linux)
PC Building Simulator,Claudiu Kiss
PC Building Simulator,The Irregular Corporation
Disco Elysium - The Final Cut,ZA/UM
BONEWORKS,Stress Level Zero
Mortal Kombat 11,NetherRealm Studios
Mortal Kombat 11,QLOC
Mortal Kombat 11,Shiver
Destiny 2,Bungie
Baldur's Gate 3,Larian Studios
