game,publisher
Counter-Strike,Valve
Team Fortress Classic,Valve
Ricochet,Valve
Half-Life,Valve
Half-Life 2,Valve
Counter-Strike: Source,Valve
Half-Life 2: Lost Coast,Valve
Half-Life Deathmatch: Source,Valve
Half-Life 2: Episode One,Valve
Portal,Valve
Half-Life 2: Episode Two,Valve
Team Fortress 2,Valve
Left 4 Dead,Valve
Left 4 Dead 2,Valve
Dota 2,Valve
Portal 2,Valve
Counter-Strike: Global Offensive,Valve
Call of Duty® 2,Activision
Plants vs. Zombies GOTY Edition,PopCap Games
Plants vs. Zombies GOTY Edition,Inc.
Plants vs. Zombies GOTY Edition,Electronic Arts
Sid Meier's Civilization® IV,2K
Garry's Mod,Valve
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",SEGA
STAR WARS™ Republic Commando™,LucasArts
STAR WARS™ Republic Commando™,Lucasfilm
STAR WARS™ Republic Commando™,Disney
"Star Wars: Battlefront 2 (Classic, 2005)",Lucasfilm
"Star Wars: Battlefront 2 (Classic, 2005)",LucasArts
"Star Wars: Battlefront 2 (Classic, 2005)",Disney
Hitman 2: Silent Assassin,Io-Interactive A/S
Hitman: Blood Money,Io-Interactive A/S
Just Cause,Square Enix
Deus Ex: Game of the Year Edition,Eidos Interactive Corp.
BioShock™,2K
Call of Duty® 4: Modern Warfare® (2007),Activision
EVE Online,CCP
BioShock® 2,2K
BioShock Infinite,2K
Sid Meier's Civilization® V,2K
Sid Meier's Civilization® V,Aspyr (Mac)
Sid Meier's Civilization® V,Aspyr (Linux)
Borderlands Game of the Year,2K
Call of Duty: World at War,Activision
Call of Duty®: Modern Warfare® 2 (2009),Activision
Grand Theft Auto III,Rockstar Games
Grand Theft Auto: Vice City,Rockstar Games
Grand Theft Auto: San Andreas,Rockstar Games
Grand Theft Auto IV: The Complete Edition,Rockstar Games
Grand Theft Auto: Episodes from Liberty City,Rockstar Games
Mirror's Edge™,Electronic Arts
Need for Speed Undercover,Electronic Arts
Mass Effect (2007),Electronic Arts
Dead Space (2008),Electronic Arts
The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED
The Witcher: Enhanced Edition Director's Cut,1C-SoftClub
The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED
The Witcher 2: Assassins of Kings Enhanced Edition,1C-SoftClub
Resident Evil 5,Capcom
The Elder Scrolls III: Morrowind® Game of the Year Edition,Bethesda Softworks
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Bethesda Softworks
Fallout: New Vegas,Bethesda Softworks
Poker Night at the Inventory,Strategy First
STAR WARS™ Knights of the Old Republic™,LucasArts
STAR WARS™ Knights of the Old Republic™,Aspyr (Mac)
STAR WARS™ Knights of the Old Republic™,Disney
STAR WARS™ Knights of the Old Republic™,Lucasfilm
Assassin's Creed 2,Ubisoft
FINAL FANTASY VII,Square Enix
FINAL FANTASY XIV Online,Square Enix
Need For Speed: Hot Pursuit,Electronic Arts
The Sims™ 3,Electronic Arts
LIMBO,Playdead
Borderlands 2,2K
Borderlands 2,Aspyr (Mac)
Borderlands 2,Aspyr (Linux)
Amnesia: The Dark Descent,Frictional Games
The Bureau: XCOM Declassified,2K
Sid Meier's Civilization®: Beyond Earth™,2K
Sid Meier's Civilization®: Beyond Earth™,Aspyr (Mac)
Sid Meier's Civilization®: Beyond Earth™,Aspyr (Linux)
The Elder Scrolls V: Skyrim,Bethesda Softworks
The Tiny Bang Story,Colibri Games
Age of Empires® III (2007),Xbox Game Studios
Terraria,Re-Logic
Bastion,Supergiant Games
L.A. Noire,Rockstar Games
The Binding of Isaac,Edmund McMillen
Call of Duty®: Black Ops II,Activision
Serious Sam 2,Devolver Digital
Castle Crashers®,The Behemoth
Dishonored,Bethesda Softworks
SpeedRunners,tinyBuild
Batman™: Arkham Knight,Warner Bros. Interactive Entertainment
FTL: Faster Than Light,Subset Games
Alien: Isolation,SEGA
Alien: Isolation,Feral Interactive (Mac)
Alien: Isolation,Feral Interactive (Linux)
Hotline Miami,Devolver Digital
Kerbal Space Program,Private Division
Far Cry 3,Ubisoft
DmC: Devil May Cry,Capcom
Resident Evil 6,Capcom
Don't Starve,Klei Entertainment
The Stanley Parable,Galactic Cafe
Divinity: Original Sin (Classic),Larian Studios
Universe Sandbox,Giant Army
Warframe,Digital Extremes
Surgeon Simulator,tinyBuild
Kenshi,Lo-Fi Games
Transistor,Supergiant Games
The Wolf Among Us,Telltale
How to Survive,505 Games
The Binding of Isaac: Rebirth,Nicalis
The Binding of Isaac: Rebirth,Inc.
Rust,Facepunch Studios
Rocket League®,Psyonix LLC
Resident Evil 4 (2005),Capcom
Cities: Skylines,Paradox Interactive
American Truck Simulator,SCS Software
Grand Theft Auto V,Rockstar Games
Resident Evil,CAPCOM Co.
Resident Evil,Ltd.
FOR HONOR™,Ubisoft
Mortal Kombat X,Warner Bros. Interactive Entertainment
Street Fighter V,Capcom
Five Nights at Freddy's,Scott Cawthon
DOOM,Bethesda Softworks
VRChat,VRChat Inc.
NieR:Automata™,Square Enix
Satisfactory,Coffee Stain Publishing
Half-Life: Alyx,Valve
Life is Strange: Before the Storm,Square Enix
Life is Strange: Before the Storm,Feral Interactive (Mac)
Life is Strange: Before the Storm,Feral Interactive (Linux)
PC Building Simulator,The Irregular Corporation
Disco Elysium - The Final Cut,ZA/UM
BONEWORKS,Stress Level Zero
Mortal Kombat 11,Warner Bros. Games
Mortal Kombat 11,Warner Bros. Interactive Entertainment
Destiny 2,Bungie
Baldur's Gate 3,Larian Studios
